268,34857,44195.3
269,35125.3,44132.3
270,35686,44595.7
271,35873,44811
272,35838.3,45198.7
273,36143.3,44947.7
274,35364.3,45428
275,36571.3,45235.3
276,36558,45397.3
277,36843.7,45665
278,36501.3,45515
279,38622,46385
280,37672.3,46662
281,37992.7,47141.3
282,38468.3,47032.7
283,38100.7,47195.3
284,39533,47228.3
285,39450,47648.3
286,39732.7,48225
287,40037.7,48648.3
288,39880.7,49193
289,40707.7,49115
290,40036.7,49394.7
291,41582.7,49482
292,40646,49785.3
293,41331.3,49642
294,41677,50304.3
295,41941.3,50046
296,41564,50187.3
297,42462.7,50652.3
298,43496.3,51241.7
299,43730.7,51367
300,44444.3,51731
301,43586,50952
302,44234.3,51312.3
303,43689.7,51975.3
304,44586.7,52260.3
305,44802.3,52353.3
306,44362,52673
307,45359.3,52740.7
308,44668.7,53377.7
309,46199.7,53308.7
310,45816,53160
311,46885.7,53816.7
312,46066,54069.3
313,47029.7,54372
314,48390.3,54705.3
315,47729,54783.7
316,48964.3,55298.3
317,48998.3,55410.3
318,50050.7,55623.7
319,49540,55756
320,49439.7,56156.3
321,50385,56434
322,49792.7,56713.7
323,50841,56995.7
324,50357.3,57500.3
325,51462.7,57360
326,50461.3,57666.3
327,51506.7,57796.7
328,51312,58128
329,52826.7,58060
330,54066.3,58403
331,54162.7,58895.7
332,54290.3,59245.3
333,54190.7,59403.7
334,54798,59644.3
335,55062.7,59712.3
336,54651.3,60431.7
337,55427.7,60399.7
338,55656,60713.3
339,56304.3,60731.3
340,55915.3,60840.3
341,58237,61931.3
342,56629.3,61660.7
343,58604.7,62312
344,57388,62332.7
345,58284.7,62887.3
346,58288.3,62865
347,59163.7,62971.3
348,58445.3,63307.7
349,59907,63875.7
350,60056,63938.7
351,59333.7,64749.3
352,61085.3,64646.7
353,60551.7,65189.3
354,61439.7,66477.7
355,62211.3,65544.3
356,62006,66513
357,62109,66845
358,62070,66797
359,62788,67102
360,62644.3,67413.3
361,64429.3,67564
362,64495.7,67436.3
363,64660,68132
364,66285.3,68577.3
365,65417.3,68654.3
366,65600.7,68989
367,65245,70265.3
368,65626.3,70484.3
369,66272.3,70417
370,67113.3,71080.3
371,68230.7,71560
372,67057,71264
373,69184.7,71617.7
374,67994,71946
375,70315.3,72832.7
376,68219,72884
377,70146,72999.3
378,70600.7,73876.3
379,71047,74081
380,71287,75044.7
381,72014,74384.3
382,72544.7,75181.7
383,72677,76208
384,72540.3,75736.3
385,72935,76800.7
386,72947.3,76931
387,74809.7,76810
388,74131,77242.7
389,74409,77587.3
390,74348.3,78001.7
391,76698.7,78489.3
392,76456,79236
393,77865.7,79658
394,76457.3,79459.7
395,76561.3,79560.7
396,75777.7,79833.3
397,78621.7,80806.3
398,77143,81110.3
399,78197.3,80990
400,79214,81012.3
401,80365.7,81785
402,79820,82510
403,80844.3,82236
404,80346,81965.7
405,81991.7,82663
406,80540.7,83265
407,81237.7,83673.7
408,81640.3,84116
409,82294.7,84381
410,83019.7,84470.7
411,84208.3,85229.3
412,83178.7,85571
413,85884.3,85894.7
414,84011.3,86403.3
415,85642.7,86668.3
416,86176.7,87115.7
417,87884.3,86768.3
418,86925.7,88014
419,88505.7,87535.3
420,85919.7,88178
421,90182.3,88788
422,88527.3,88628.7
423,89938.3,89123.3
424,89318.3,89386.7
425,90721.7,90106.3
426,89831,90007
427,92424.7,90596
428,91432.7,90617
429,92445.3,91053.7
430,89909.3,90738
431,91971.7,92350.7
432,93397,91752.7
433,94581.3,92696.7
434,92435.7,92782.7
435,96195.3,93437
436,94584.3,93144
437,94871.3,93356.3
438,94956.3,94025.3
439,97979,94775.7
440,95647.7,94660.7
441,98080,95195.3
442,96736,96385
443,99565,97476
444,98299.3,97594
445,99351.3,97107
446,97801.3,97862.7
447,100583,98981.3
448,99942.3,97843.3
449,101233,98321.7
450,100496,99332.3
451,102235,99130
452,100564,99687.7
453,102405,100410
454,102619,100385
455,103533,100735
456,102934,101461
457,105864,102028
458,105465,102029
459,105357,102772
460,105845,102760
461,107128,103402
462,105936,104096
463,107671,103514
464,106890,104497
465,108118,104430
466,108625,104216
467,109156,104452
468,107499,104750
469,109943,105505
470,108637,105385
471,111539,106002
472,108974,107587
473,112129,106750
474,113248,107132
475,112779,107941
476,113252,108553
477,113945,108895
478,113935,109260
479,113860,109622
480,114862,109970
481,116441,109615
482,115561,110130
483,118003,110626
484,117744,110511
485,117082,112155
486,119915,112954
487,118958,112812
488,117839,111980
489,123487,113362
490,124611,113502
491,122691,113084
492,125908,114629
493,125030,115786
494,125026,114594
495,126048,115714
496,125980,115795
497,128471,115552
498,127227,116926
499,127694,118189
500,128593,117796
501,127770,116700
502,128979,117156
503,128237,117297
504,129470,118712
505,132074,118904
506,131769,119158
507,130852,120233
508,131657,119582
509,132468,121320
510,131993,120276
511,133773,120934
512,135080,121425
513,136646,122305
514,136909,121380
515,137644,122785
516,137693,122214
517,137719,123200
518,138527,123302
519,141104,124985
520,140301,124977
521,142122,125060
522,141833,125296
523,141244,125457
524,142931,126340
525,142452,126262
526,142846,127077
527,144435,127548
